Accession Number;Ontology;GOSlims
AT1G01120;cellular_component;GO:0016020 GO:0005575
AT1G02730;biological_process;GO:0008150 GO:0042546 GO:0009987 GO:0044085 GO:0071554
AT1G26830;molecular_function;GO:0003674 GO:0005488 GO:0005515
AT1G27320;biological_process;GO:0097659 GO:0043170 GO:0006351 GO:0009987 GO:0006139 GO:0050789 GO:0034641 GO:0050794 GO:0060255 GO:0010467 GO:0031323 GO:0009058 GO:0046483 GO:0008152 GO:0044237 GO:0051252 GO:0006355 GO:0009889 GO:0044271 GO:0016070 GO:0019438 GO:0018130 GO:0044238 GO:0008150 GO:0009059 GO:0019222 GO:0010556 GO:0006807 GO:0019219 GO:0010468 GO:0051171 GO:0006725 GO:0044249 GO:0065007 GO:0034654 GO:0044260 GO:0031326
AT1G27390;biological_process;GO:0006886 GO:0045184 GO:0051234 GO:0006605 GO:0051649 GO:0007005 GO:0016043 GO:0051641 GO:0009987 GO:0033036 GO:0046907 GO:0051179 GO:0008104 GO:0006996 GO:0006810 GO:0015031 GO:0008150
AT1G27390;biological_process;GO:0006886 GO:0045184 GO:0051234 GO:0006605 GO:0051649 GO:0007005 GO:0016043 GO:0051641 GO:0009987 GO:0033036 GO:0046907 GO:0051179 GO:0008104 GO:0006996 GO:0006810 GO:0015031 GO:0008150
AT1G28380;biological_process;GO:0008150 GO:0050896 GO:0006952 GO:0006950 GO:0002376
AT1G29400;biological_process;GO:0006886 GO:0045184 GO:0051234 GO:0006605 GO:0007031 GO:0051649 GO:0009987 GO:0051641 GO:0016043 GO:0033036 GO:0046907 GO:0008104 GO:0051179 GO:0006810 GO:0055085 GO:0006996 GO:0015031 GO:0017038 GO:0008150
AT1G31340;cellular_component;GO:0005575 GO:0016020 GO:0044464 GO:0005623 GO:0005886
AT1G32450;biological_process;GO:0008150 GO:0010035 GO:0050896 GO:0001101 GO:0042221
AT1G02730;biological_process;GO:0008150 GO:0042546 GO:0009987 GO:0044085 GO:0071554
AT1G34210;cellular_component;GO:0005575 GO:0016020 GO:0044464 GO:0005623 GO:0005886
AT1G41830;biological_process;GO:0008150 GO:0042546 GO:0009987 GO:0044085 GO:0071554
AT1G48605;biological_process;GO:0009628 GO:0050896 GO:0009651 GO:0006970 GO:0006950 GO:0008150
AT1G48910;biological_process;GO:0055114 GO:0008152 GO:0008150
AT1G48910;biological_process;GO:0055114 GO:0008152 GO:0008150
AT1G50010;molecular_function;GO:0017111 GO:0008152 GO:0003924 GO:0016787 GO:0016818 GO:0016817 GO:0003824 GO:0016462 GO:0003674 GO:0008150
AT1G50010;molecular_function;GO:0017111 GO:0008152 GO:0003924 GO:0016787 GO:0016818 GO:0016817 GO:0003824 GO:0016462 GO:0003674 GO:0008150
AT1G50010;molecular_function;GO:0017111 GO:0008152 GO:0003924 GO:0016787 GO:0016818 GO:0016817 GO:0003824 GO:0016462 GO:0003674 GO:0008150
AT1G02730;biological_process;GO:0008150 GO:0042546 GO:0009987 GO:0044085 GO:0071554
AT1G52520;cellular_component;GO:0043229 GO:0005622 GO:0044424 GO:0043227 GO:0005575 GO:0005623 GO:0043226 GO:0044464 GO:0043231 GO:0005634
AT1G52740;biological_process;GO:0032501 GO:0048856 GO:0009791 GO:0007275 GO:0000003 GO:0050789 GO:0032502 GO:0009908 GO:0065007 GO:0050793 GO:0022414 GO:0008150
AT1G53090;biological_process;GO:0032501 GO:0048585 GO:0009628 GO:0048583 GO:0009314 GO:0050896 GO:0009791 GO:0051093 GO:0007275 GO:0032502 GO:0050793 GO:0050789 GO:0065007 GO:0009416 GO:0048519 GO:0008150
AT1G53090;biological_process;GO:0032501 GO:0048585 GO:0009628 GO:0048583 GO:0009314 GO:0050896 GO:0009791 GO:0051093 GO:0007275 GO:0032502 GO:0050793 GO:0050789 GO:0065007 GO:0009416 GO:0048519 GO:0008150
AT1G53090;biological_process;GO:0032501 GO:0048585 GO:0009628 GO:0048583 GO:0009314 GO:0050896 GO:0009791 GO:0051093 GO:0007275 GO:0032502 GO:0050793 GO:0050789 GO:0065007 GO:0009416 GO:0048519 GO:0008150
AT1G53700;molecular_function;GO:0016310 GO:0016301 GO:0008152 GO:0044237 GO:0003824 GO:0016772 GO:0009987 GO:0006793 GO:0006796 GO:0016740 GO:0003674 GO:0008150
AT1G02730;biological_process;GO:0008150 GO:0042546 GO:0009987 GO:0044085 GO:0071554
AT1G53700;molecular_function;GO:0016310 GO:0016301 GO:0008152 GO:0044237 GO:0003824 GO:0016772 GO:0009987 GO:0006793 GO:0006796 GO:0016740 GO:0003674 GO:0008150
AT1G54490;biological_process;GO:0046483 GO:0008152 GO:0044237 GO:0006725 GO:0006139 GO:0009987 GO:0006807 GO:0034641 GO:0044238 GO:0008150
AT1G55610;molecular_function;GO:0016310 GO:0043170 GO:0009987 GO:0006796 GO:0008152 GO:0044237 GO:0006793 GO:0043412 GO:0004672 GO:0004713 GO:0044238 GO:0016740 GO:0003674 GO:0008150 GO:0018108 GO:0018193 GO:0016773 GO:0003824 GO:0016301 GO:0044267 GO:0019538 GO:0006468 GO:0018212 GO:0006464 GO:0016772 GO:0044260
AT1G55610;molecular_function;GO:0016310 GO:0043170 GO:0009987 GO:0006796 GO:0008152 GO:0044237 GO:0006793 GO:0043412 GO:0004672 GO:0004713 GO:0044238 GO:0016740 GO:0003674 GO:0008150 GO:0018108 GO:0018193 GO:0016773 GO:0003824 GO:0016301 GO:0044267 GO:0019538 GO:0006468 GO:0018212 GO:0006464 GO:0016772 GO:0044260
AT1G02730;biological_process;GO:0008150 GO:0042546 GO:0009987 GO:0044085 GO:0071554
AT1G58200;biological_process;GO:0006950 GO:0050896 GO:0006970 GO:0009628 GO:0008150
AT1G61720;molecular_function;GO:0008152 GO:0055114 GO:0003824 GO:0016491 GO:0003674 GO:0008150
AT1G63650;biological_process;GO:0048856 GO:0009987 GO:0032502 GO:0048869 GO:0030154 GO:0008150
AT1G63650;biological_process;GO:0048856 GO:0009987 GO:0032502 GO:0048869 GO:0030154 GO:0008150
AT1G64760;cellular_component;GO:0016020 GO:0031224 GO:0044425 GO:0005575
AT1G65480;molecular_function;GO:0003674 GO:0005488 GO:0005515
AT1G65480;molecular_function;GO:0003674 GO:0005488 GO:0005515
AT1G02880;biological_process;GO:0006767 GO:0046483 GO:0042723 GO:0044281 GO:0044237 GO:0008152 GO:0006766 GO:0006725 GO:0006772 GO:0009987 GO:0006807 GO:0034641 GO:0006790 GO:0008150
AT1G65660;biological_process;GO:0046483 GO:0043170 GO:0044237 GO:0006396 GO:0008152 GO:0044238 GO:0006139 GO:0016071 GO:0008380 GO:0016070 GO:0000377 GO:0034641 GO:0009987 GO:0006725 GO:0006807 GO:0010467 GO:0000375 GO:0044260 GO:0006397 GO:0008150
AT1G68050;molecular_function;GO:0003674 GO:0005488 GO:0005515
AT1G03130;biological_process;GO:0055082 GO:0050801 GO:0048878 GO:0009987 GO:0019725 GO:0006873 GO:0042592 GO:0065007 GO:0030003 GO:0055080 GO:0065008 GO:0008150
AT1G70940;cellular_component;GO:0044422 GO:0031988 GO:0031982 GO:0016020 GO:0043227 GO:0005575 GO:0043226 GO:0031090
AT1G71890;molecular_function;GO:0051234 GO:0009987 GO:0005215 GO:0022857 GO:0051179 GO:0055085 GO:0006810 GO:0003674 GO:0008150
AT1G73590;cellular_component;GO:0055044 GO:0005575
