Number of Gene with a close MF GOSlim;59
Number of Gene with a close BP GOSlim;139
Number of Gene with a close CC GOSlim;44
Compute Number Gene :;242


GOSlim;Ontology;count of gene
GO:0016310;biological_process;7
GO:0080134;biological_process;3
GO:0009617;biological_process;6
GO:0034641;biological_process;21
GO:0005886;cellular_component;8
GO:0042623;molecular_function;1
GO:0050794;biological_process;19
GO:0005834;cellular_component;1
GO:0006812;biological_process;1
GO:0009414;biological_process;2
GO:0071310;biological_process;2
GO:0009889;biological_process;13
GO:0023052;biological_process;1
GO:0016841;molecular_function;1
GO:0016763;molecular_function;1
GO:0019439;biological_process;1
GO:0016114;biological_process;1
GO:0016458;biological_process;2
GO:0048878;biological_process;1
GO:0003700;molecular_function;3
GO:0003879;molecular_function;1
GO:0009416;biological_process;11
GO:0016747;molecular_function;1
GO:0032501;biological_process;26
GO:0009628;biological_process;20
GO:0017111;molecular_function;5
GO:0006772;biological_process;1
GO:0045935;biological_process;2
GO:0006464;biological_process;4
GO:0044248;biological_process;5
GO:0065007;biological_process;30
GO:0016042;biological_process;1
GO:0043170;biological_process;41
GO:0032991;cellular_component;2
GO:0007154;biological_process;1
GO:0046700;biological_process;1
GO:0006970;biological_process;7
GO:0044430;cellular_component;1
GO:0046395;biological_process;1
GO:0046794;biological_process;1
GO:0043412;biological_process;5
GO:0044242;biological_process;1
GO:0009893;biological_process;2
GO:0051188;biological_process;1
GO:0022607;biological_process;4
GO:0005488;molecular_function;30
GO:0008104;biological_process;6
GO:0009607;biological_process;7
GO:0006631;biological_process;2
GO:0034622;biological_process;2
GO:0006259;biological_process;1
GO:0098805;cellular_component;2
GO:0009311;biological_process;1
GO:0005856;cellular_component;1
GO:0048037;molecular_function;3
GO:0097659;biological_process;12
GO:0046872;molecular_function;3
GO:0019318;biological_process;2
GO:0007015;biological_process;3
GO:0055085;biological_process;2
GO:0070271;biological_process;2
GO:0044444;cellular_component;18
GO:0051093;biological_process;3
GO:0044454;cellular_component;1
GO:0044262;biological_process;15
GO:0022414;biological_process;15
GO:0052126;biological_process;1
GO:0018108;biological_process;2
GO:0009536;cellular_component;5
GO:0006073;biological_process;14
GO:0033036;biological_process;6
GO:0071555;biological_process;2
GO:0050896;biological_process;38
GO:0055114;biological_process;10
GO:0051186;biological_process;2
GO:0034654;biological_process;12
GO:0031326;biological_process;12
GO:0005976;biological_process;15
GO:0005506;molecular_function;3
GO:0016705;molecular_function;1
GO:0016021;cellular_component;1
GO:0003677;molecular_function;4
GO:0044000;biological_process;1
GO:0031323;biological_process;14
GO:0016836;molecular_function;1
GO:0019319;biological_process;2
GO:0003723;molecular_function;1
GO:0051273;biological_process;14
GO:0005783;cellular_component;1
GO:0009057;biological_process;3
GO:0019395;biological_process;1
GO:0006629;biological_process;3
GO:0016818;molecular_function;5
GO:0006508;biological_process;4
GO:0004713;molecular_function;2
GO:0008150;biological_process;167
GO:0040011;biological_process;1
GO:0044422;cellular_component;7
GO:0046364;biological_process;2
GO:0006082;biological_process;3
GO:0007275;biological_process;26
GO:0006778;biological_process;1
GO:0048646;biological_process;5
GO:0048522;biological_process;2
GO:0006310;biological_process;1
GO:0044434;cellular_component;1
GO:0009908;biological_process;7
GO:0016620;molecular_function;2
GO:0044260;biological_process;39
GO:0046148;biological_process;1
GO:0016192;biological_process;1
GO:0016043;biological_process;14
GO:0000394;biological_process;1
GO:0010467;biological_process;16
GO:0050793;biological_process;6
GO:0006950;biological_process;21
GO:0033692;biological_process;14
GO:0044042;biological_process;14
GO:0004674;molecular_function;1
GO:0005794;cellular_component;1
GO:0016746;molecular_function;1
GO:0031329;biological_process;1
GO:0016209;molecular_function;1
GO:0008652;biological_process;1
GO:0050801;biological_process;1
GO:0071554;biological_process;11
GO:0006807;biological_process;21
GO:0006873;biological_process;1
GO:0046740;biological_process;1
GO:0045595;biological_process;2
GO:0017076;molecular_function;5
GO:0009314;biological_process;11
GO:0000377;biological_process;1
GO:0006457;biological_process;1
GO:0006091;biological_process;1
GO:0006720;biological_process;1
GO:0055044;cellular_component;1
GO:0043226;cellular_component;23
GO:0048518;biological_process;2
GO:0007031;biological_process;1
GO:0016787;molecular_function;6
GO:0000271;biological_process;14
GO:0005996;biological_process;2
GO:0042559;biological_process;1
GO:0043228;cellular_component;2
GO:0006397;biological_process;1
GO:0009962;biological_process;1
GO:0042546;biological_process;9
GO:0005774;cellular_component;2
GO:0051252;biological_process;12
GO:0006793;biological_process;7
GO:0009813;biological_process;1
GO:0051258;biological_process;2
GO:0044238;biological_process;49
GO:0045184;biological_process;6
GO:0032553;molecular_function;5
GO:0007005;biological_process;2
GO:0009791;biological_process;19
GO:0006635;biological_process;1
GO:0031324;biological_process;1
GO:0031982;cellular_component;1
GO:0003824;molecular_function;24
GO:0019538;biological_process;8
GO:0019217;biological_process;1
GO:0043062;biological_process;2
GO:0006974;biological_process;1
GO:0044249;biological_process;28
